[DEBUG] [2016-03-14 16:04:38, 022] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:04:38, 027] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:04:38, 028] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:04:38, 031] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:04:38, 032] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[INFO ] [2016-03-14 16:04:38, 038] core.FileScanner  - [27] match : error_[2015-09-21 20:49:58]  OCTimerCount=2 error
[DEBUG] [2016-03-14 16:04:38, 053] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 054] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[INFO ] [2016-03-14 16:04:38, 059] core.FileScanner  - [27] match : error_[2015-09-21 20:49:58]  OCTimerCount=2 error
[DEBUG] [2016-03-14 16:04:38, 081] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 082] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 086] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 086] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 090] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[INFO ] [2016-03-14 16:04:38, 091] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[DEBUG] [2016-03-14 16:04:38, 092] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:04:38, 094] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:04:38, 094] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:04:38, 096] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:04:38, 097] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 101] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 102] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 104] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 105] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 109] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan end
[DEBUG] [2016-03-14 16:04:38, 109] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:04:38, 110] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-10-21.txt scan end
[INFO ] [2016-03-14 16:09:48, 485] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 16:09:48, 489] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 16:09:49, 743] main.MainActivity - scan button click
[INFO ] [2016-03-14 16:09:49, 744] core.FileScanner  - C:\VirtualData\test is directory
[INFO ] [2016-03-14 16:09:49, 745] main.MainActivity - logger : C:\VirtualData\test
[INFO ] [2016-03-14 16:09:49, 746] core.FileScanner  - directory scan >> C:\VirtualData\test\2014-10-20
[INFO ] [2016-03-14 16:09:49, 748] core.FileScanner  - directory scan >> C:\VirtualData\test\HttpLog
[DEBUG] [2016-03-14 16:09:49, 749] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:09:49, 755] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:09:49, 756] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:09:49, 760] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:09:49, 761] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[INFO ] [2016-03-14 16:09:49, 789] core.FileScanner  - [27] match : error_[2015-09-21 20:49:58]  octimercount=2 error
[DEBUG] [2016-03-14 16:09:49, 810] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:09:49, 811] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan start
[INFO ] [2016-03-14 16:09:49, 815] core.FileScanner  - [27] match : error_[2015-09-21 20:49:58]  octimercount=2 error
[DEBUG] [2016-03-14 16:09:49, 825] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:09:49, 826] core.FileScanner  - >>> PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:09:49, 828] core.FileScanner  - <<< PullLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[DEBUG] [2016-03-14 16:09:49, 828] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan start
[DEBUG] [2016-03-14 16:09:49, 830] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\HttpLog\HttpLog_2015-10-21.txt scan end
[INFO ] [2016-03-14 16:09:49, 831] core.FileScanner  - directory scan >> C:\VirtualData\test\PullLog
[DEBUG] [2016-03-14 16:09:49, 832] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:09:49, 834] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:09:49, 834] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan start
[DEBUG] [2016-03-14 16:09:49, 835] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-20.txt scan end
[DEBUG] [2016-03-14 16:09:49, 836] core.FileScanner  - >>> PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 16:09:49, 837] core.FileScanner  - <<< PullLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
[DEBUG] [2016-03-14 16:09:49, 838] core.FileScanner  - >>> HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan start
[DEBUG] [2016-03-14 16:09:49, 839] core.FileScanner  - <<< HttpLog : C:\VirtualData\test\PullLog\PullLog_2015-09-21.txt scan end
